arm,perturbation_id,seed,status,selected_count,intersection_with_reference,jaccard_vs_reference,reference_retention_fraction
RND,P1,20260921,OK,256,207,0.678689,0.808594
RND,P2,20260922,OK,256,210,0.695364,0.820312
RND,P3,20260923,OK,256,211,0.700997,0.824219
DET,P1,20260921,OK,256,209,0.689769,0.816406
DET,P2,20260922,OK,256,217,0.735593,0.847656
DET,P3,20260923,OK,256,208,0.684211,0.812500
LLM,P1,20260921,OK,256,202,0.651613,0.789062
LLM,P2,20260922,OK,256,196,0.620253,0.765625
LLM,P3,20260923,OK,256,193,0.605016,0.753906
